id,name,price,value,type,color,brand
1,tommy_jacket_1,269,409,jacket,gray,tommy
2,hm_shoes_2,251,402,shoes,white,hm
3,nike_shorts_3,81,226,shorts,green,nike
4,hm_pants_4,456,539,pants,gray,hm
5,hm_tshirt_5,111,159,tshirt,white,hm
6,adidas_hoodie_6,468,525,hoodie,yellow,adidas
7,puma_shoes_7,554,567,shoes,yellow,puma
8,hm_hoodie_8,66,264,hoodie,red,hm
9,tommy_hoodie_9,587,735,hoodie,yellow,tommy
10,hm_hoodie_10,79,234,hoodie,white,hm
11,newbalance_pants_11,434,557,pants,black,newbalance
12,adidas_pants_12,386,482,pants,red,adidas
13,reebok_jacket_13,583,761,jacket,white,reebok
14,hm_jacket_14,233,417,jacket,green,hm
15,adidas_tshirt_15,428,518,tshirt,gray,adidas
16,nike_pants_16,331,454,pants,black,nike
17,tommy_pants_17,267,433,pants,red,tommy
18,reebok_pants_18,558,718,pants,black,reebok
19,nike_shoes_19,104,266,shoes,black,nike
20,adidas_jacket_20,67,96,jacket,green,adidas
21,reebok_shoes_21,388,486,shoes,red,reebok
22,reebok_pants_22,172,347,pants,yellow,reebok
23,newbalance_shoes_23,310,434,shoes,red,newbalance
24,nike_shoes_24,172,259,shoes,red,nike
25,nike_tshirt_25,155,340,tshirt,yellow,nike
26,newbalance_shorts_26,137,311,shorts,blue,newbalance
27,adidas_hoodie_27,156,255,hoodie,gray,adidas
28,puma_pants_28,288,313,pants,yellow,puma
29,puma_jacket_29,103,217,jacket,green,puma
30,nike_hoodie_30,204,385,hoodie,red,nike
31,puma_hoodie_31,417,460,hoodie,red,puma
32,tommy_shorts_32,202,375,shorts,yellow,tommy
33,tommy_jacket_33,235,269,jacket,blue,tommy
34,newbalance_hoodie_34,459,561,hoodie,red,newbalance
35,zara_shorts_35,311,355,shorts,green,zara
36,newbalance_jacket_36,465,496,jacket,white,newbalance
37,adidas_shorts_37,301,433,shorts,blue,adidas
38,newbalance_hoodie_38,339,354,hoodie,gray,newbalance
39,adidas_pants_39,325,348,pants,yellow,adidas
40,reebok_tshirt_40,520,635,tshirt,black,reebok
41,zara_tshirt_41,534,651,tshirt,yellow,zara
42,tommy_pants_42,273,449,pants,red,tommy
43,tommy_shorts_43,554,589,shorts,gray,tommy
44,adidas_pants_44,548,725,pants,blue,adidas
45,zara_hoodie_45,160,277,hoodie,red,zara
46,zara_jacket_46,264,432,jacket,yellow,zara
47,newbalance_hoodie_47,216,344,hoodie,black,newbalance
48,hm_shorts_48,559,609,shorts,white,hm
49,hm_shoes_49,382,565,shoes,black,hm
50,adidas_shorts_50,586,782,shorts,green,adidas
51,reebok_jacket_51,558,583,jacket,red,reebok
52,nike_tshirt_52,387,508,tshirt,gray,nike
53,tommy_jacket_53,224,277,jacket,black,tommy
54,zara_jacket_54,497,657,jacket,yellow,zara
55,tommy_shorts_55,435,634,shorts,gray,tommy
56,tommy_pants_56,553,663,pants,blue,tommy
57,nike_jacket_57,120,179,jacket,green,nike
58,puma_shorts_58,490,548,shorts,gray,puma
59,puma_tshirt_59,463,503,tshirt,yellow,puma
60,zara_pants_60,85,257,pants,green,zara
61,hm_tshirt_61,236,310,tshirt,green,hm
62,zara_shoes_62,155,259,shoes,blue,zara
63,adidas_shoes_63,505,567,shoes,green,adidas
64,reebok_jacket_64,244,317,jacket,black,reebok
65,adidas_shoes_65,471,615,shoes,green,adidas
66,newbalance_tshirt_66,549,670,tshirt,gray,newbalance
67,adidas_pants_67,479,530,pants,gray,adidas
68,reebok_shorts_68,390,483,shorts,white,reebok
69,adidas_shoes_69,79,164,shoes,blue,adidas
70,tommy_hoodie_70,88,247,hoodie,yellow,tommy
71,hm_shorts_71,48,91,shorts,black,hm
72,nike_hoodie_72,241,413,hoodie,green,nike
73,nike_shoes_73,552,605,shoes,blue,nike
74,nike_tshirt_74,575,611,tshirt,blue,nike
